Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 30,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35,Feature 36,Feature 37
,0.3939843661,0.09926264041,0.9363467319,0.08391608392,0.876744186,0.8444910036,,0.5463493904,0.4351067785,,0.5,0.7646077819,0.8770555713,,,0.5214536475,0.9936137503,0.5502627299,0.580353355,0.417918319,0.9129149094,0.259356802,0.2719784934,0.5,1.0,0.2165660008,,,,,0.6452843396,0.7049566012,0.1177944947,0.8850513592,0.568024529,0.9740642417
0.9012319683,,0.02930198843,,0.5221445221,,0.6225900865,,0.1165683128,0.3995864095,,0.9166666667,0.3217925106,0.04394874117,0.5714285714,,0.3735691527,,0.971426248,0.2230595117,,0.8301442223,0.6995435446,0.979239833,1.0,0.0,0.6179937444,0.3558754246,0.8701344948,,0.7267983487,0.2064793732,0.7472285644,0.5067664848,0.677788959,0.7358393545,0.849957216
0.08920664933,0.1404907147,,0.9241411414,0.08857808858,0.2720930233,0.07146767293,0.937989295,0.5545438065,0.4723336016,,0.75,0.2130396732,0.3786267466,0.2142857143,,0.06838668074,0.2069661812,0.2723401727,0.4392126586,0.8463372555,0.8713267316,0.03952146194,0.554600469,1.0,0.0,0.2162347826,0.1423570154,0.4641206459,0.0805088851,0.276392674,0.3698567717,0.6459614846,0.05358392914,0.2687872993,0.7762228538,
0.3908321322,0.5795653197,0.5712918616,0.08096933962,,0.4697674419,0.7457815346,0.546573307,0.2027110401,0.5457548037,0.2385665184,0.4166666667,0.9005347433,0.1214072647,0.07142857143,,0.3378311641,,0.820344051,0.8387388835,,0.2570316903,0.1036285736,,1.0,1.0,0.5350605073,0.3737686094,0.40724287,0.3013434595,0.620438487,,0.3175103165,0.4008462389,0.6400361427,0.88215775,0.6144853246
0.9824103977,0.9388066335,0.308269592,0.1278571268,0.09324009324,0.188372093,,0.7039384013,0.5559167538,,0.6080652864,,0.2195014154,0.3613488816,,,0.06838668074,0.5543596576,0.5767759289,0.2165789647,0.7291214314,,0.2920374339,0.2646113367,1.0,0.5,,0.3399531731,0.7917433844,0.2802244745,,0.4352517252,,0.2442287397,0.1055869927,0.9924072665,0.1643603275
0.4524817524,0.6357844376,0.7326101471,,0.9347319347,0.9162790698,,0.5042549426,0.680944998,0.3140918209,,,0.6607403772,0.5479884412,0.7857142857,,,,0.06690979607,0.2025032608,0.5531772789,0.2258890941,0.1290829954,0.8619887891,0.0,0.5,,0.3588616281,0.6034011787,0.3527984777,0.5577151994,0.453033363,,,0.7173545151,,0.2113503692
0.9547664864,0.6029171859,0.0197619808,0.9931351374,0.2703962704,0.1,0.3106325936,,,0.2677785087,0.636225607,0.6666666667,0.3450765681,0.5404767429,0.6428571429,,0.6780330719,0.254773013,0.6943538096,0.1857730465,0.657377746,0.4840111735,0.9681888069,,0.0,0.5,0.5640180381,0.412848058,0.578003801,0.4406155366,0.7609165325,,0.3978870708,0.4395153784,,0.8561040713,0.6701092214
,0.2586112539,,0.006612091468,0.04895104895,0.3720930233,0.307846825,,0.5251740722,0.3928733979,0.6065499665,0.6666666667,,,0.8571428571,0.7904133711,0.4451480663,0.1884844079,0.09140998374,,0.9304336085,0.6833170509,0.8295973245,0.1088743351,,0.0,0.2573481568,0.06498935326,0.4889916044,0.09466340522,,0.2773437214,,0.07687616894,0.5538409706,0.6344615929,0.9385034178
0.09515222206,,0.8390890342,0.9285108279,0.6153846154,0.006976744186,,0.1969180632,0.3878485952,,0.01710554376,,0.379958708,0.0473062123,0.7142857143,0.2872140236,0.2071887323,,0.7087901914,0.6450718699,0.6474414046,,,0.582339158,0.0,0.5,0.591958232,0.3232791626,0.4277839765,,,,0.5454102408,,0.4108391622,0.6844435419,0.900529632
0.5057904727,0.4894332076,0.2052365798,0.7918142208,0.7389277389,0.05348837209,0.7639943902,0.04203521355,0.7845129783,0.009149816759,,,0.02898205962,0.06835844186,0.6428571429,0.2664121697,,0.4654647289,0.7273964719,0.4431709727,0.05763678097,0.9055842414,0.2788978396,0.3576691643,1.0,1.0,0.3824792452,0.2391618362,0.8136769145,,0.6594439504,0.2326821697,0.7367933874,0.2266629596,0.8034056711,0.8797109491,0.6200710091
0.2746096722,0.3136796629,,0.8489254726,0.7972027972,,0.4561844385,0.8614564238,0.6987057758,0.08360673152,0.7239839047,0.75,0.7660701564,,0.2142857143,0.5706017114,0.6997759028,0.803955473,0.9461991743,0.953518399,0.7400539073,,0.6393975802,,0.0,0.5,0.6279042705,0.1767674356,,0.1722511235,0.4945449395,0.1730754078,0.818861564,,0.7881279527,0.4886575069,0.9964562667
0.6921667319,,0.4746784087,0.5415448068,0.9324009324,0.02325581395,,0.4183847713,0.3502848455,0.9229446108,0.08076199516,1.0,0.2376195848,0.03274035894,0.7142857143,0.3721203305,0.2168539483,,0.38142287,,0.5437901117,0.9560589451,0.4028635008,0.7477220729,0.5,,0.4330377309,0.3850394998,0.5878891925,0.447305625,0.6388457187,0.3086891591,,0.5183494474,0.4253758501,0.8245841828,0.7277843757
0.3148967791,0.4804951591,0.8901810195,0.3914711028,0.9743589744,0.5348837209,0.04284145931,,0.1123747541,,0.1306118648,0.3333333333,,,0.5,0.430445409,,0.4043938399,,0.2890287611,0.9478229561,0.8831722511,,0.03507407196,1.0,0.0,0.5293196161,0.03613761449,0.7621424704,0.04384142107,0.5086897987,,0.796176238,0.04121629262,0.8377602095,0.804766029,0.7596698305
0.213411082,,0.3234866141,0.9721100881,0.9230769231,,,0.4670827114,,,0.902829298,1.0,0.3698029676,0.713147263,0.3571428571,0.2546727601,0.3088048753,0.9260245512,,0.3286172251,0.01309976847,0.7655952087,0.4118333691,0.7166799176,0.0,0.0,0.4565648071,,0.2093450157,0.1968993483,0.2688916291,0.3036485916,0.3700481889,0.2604103895,0.5815509113,0.857847564,0.666633848
,,0.565222118,,0.7319347319,,,0.6125087233,,0.6518816468,,0.6666666667,0.3841458819,,0.1428571429,0.1013563095,0.817738321,0.9627863391,0.984412611,,0.9220614783,0.9425764339,,,1.0,0.0,0.4546053122,0.3857874172,0.6392861303,0.3299568547,0.5501052101,0.2772046907,0.6283673449,0.3824317324,,0.8282287325,0.7215772634
